Given Name,Family Name,Sport,Event,Reason
Hussain,Alhizam,Athletics,Men's Pole Vault,no schedule match
Mohammed,Alqudaihi,Athletics,Men's Pole Vault,no schedule match
Hassan,Abed,Fencing,Men's Individual Épée,no schedule match
Hassan,Abed,Fencing,Men's Team Épée,no schedule match
Nada,Abed,Fencing,Women's Team Épée,no schedule match
Omar,Alakkas,Fencing,Men's Team Épée,no schedule match
Omar,Alakkas,Fencing,Men's Individual Épée,no schedule match
Dhay,Alamiri,Fencing,Women's Team Épée,no schedule match
Jawad,Aldawood,Fencing,Men's Individual Épée,no schedule match
Jawad,Aldawood,Fencing,Men's Team Épée,no schedule match
Ghala,Alduhaim,Fencing,Women's Individual Foil,no schedule match
Ghala,Alduhaim,Fencing,Women's Team Foil,no schedule match
Mohammed,Alhajji,Fencing,Men's Team Foil,no schedule match
Ibrahim,Alhodaib,Fencing,Men's Team Foil,no schedule match
Aljawharah,Almarri,Fencing,Women's Individual Foil,no schedule match
Aljawharah,Almarri,Fencing,Women's Team Foil,no schedule match
Lameed,Almarri,Fencing,Women's Team Foil,no schedule match
Lameed,Almarri,Fencing,Women's Individual Foil,no schedule match
Khalifah,Alomairi,Fencing,Men's Individual Épée,no schedule match
Khalifah,Alomairi,Fencing,Men's Team Épée,no schedule match
Danah,Alqassem,Fencing,Women's Team Épée,no schedule match
Basma,Alrashid,Fencing,Women's Individual Foil,no schedule match
Basma,Alrashid,Fencing,Women's Team Foil,no schedule match
Abdulaziz,Altuwaijri,Fencing,Men's Team Foil,no schedule match
Mohammed,Raghib,Fencing,Men's Team Foil,no schedule match
