Athlete,Sport,Date,Competition,Comp Set,Class,Discipline,Discipline_AR,Phase,Gender,Age,Rank,Result,Medal,Wind,Attempt,Lane_Heat,Reaction_Time,Split_Times,Status,Country,Detection_Method,Source_URL
Sami Bakheet,Athletics,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Men’s Long Jump,الوثب الطويل رجال,Final,Men,,3,0,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0733
Ahmed Altaruti,Athletics,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Men’s Long Jump,الوثب الطويل رجال,Final,Men,,1,7.45,G,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0733
Ali Abdelghani,Athletics,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Men’s Javelin Throw,رمي الرمح رجال,Final,Men,,1,72.04,G,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0737
Mariam Almatar,Athletics,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Women’s 800 Metres,800 متر سيدات,Heptathlon,Women,,2,2:38.23,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0738
Sarah Alhilal,Athletics,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Women’s 800 Metres,800 متر سيدات,Heptathlon,Women,,1,2:27.63,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0738
Sarah Alhilal,Athletics,2026-05-15,4th GCC Games Doha 2026,GCC Games,,HEPTATHLON WOMEN (Combined),سباعي السيدات (مجمع),Final,Women,,1,4067,G,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0790
Mariam Almatar,Athletics,2026-05-15,4th GCC Games Doha 2026,GCC Games,,HEPTATHLON WOMEN (Combined),سباعي السيدات (مجمع),Final,Women,,3,3721,B,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0790
Saudi Arabia (Team),Athletics,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Women’s 4x100 Metres Relay,4×100 متر تتابع سيدات,Final,Women,,4,55.97,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0740
Ali Beedh,Athletics,2026-05-16,4th GCC Games Doha 2026,GCC Games,,Men’s 100 Metres,100 متر رجال,Decathlon,Men,,2,11.24,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0741
Muhsin Aldabboos,Athletics,2026-05-16,4th GCC Games Doha 2026,GCC Games,,Men’s 100 Metres,100 متر رجال,Decathlon,Men,,1,11.04,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0741
Muhsin Aldabboos,Athletics,2026-05-16,4th GCC Games Doha 2026,GCC Games,,Men’s Long Jump,الوثب الطويل رجال,Decathlon,Men,,2,6.99,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0742
Ali Beedh,Athletics,2026-05-16,4th GCC Games Doha 2026,GCC Games,,Men’s Long Jump,الوثب الطويل رجال,Decathlon,Men,,1,7.04,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0742
Ali Beedh,Athletics,2026-05-16,4th GCC Games Doha 2026,GCC Games,,Men’s Shot Put,دفع الجلة رجال,Decathlon,Men,,1,13.21,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0743
Muhsin Aldabboos,Athletics,2026-05-16,4th GCC Games Doha 2026,GCC Games,,Men’s Shot Put,دفع الجلة رجال,Decathlon,Men,,,,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0743
Ali Beedh,Athletics,2026-05-16,4th GCC Games Doha 2026,GCC Games,,Men’s High Jump,الوثب العالي رجال,Decathlon,Men,,1,1.79,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0744
Muhsin Aldabboos,Athletics,2026-05-16,4th GCC Games Doha 2026,GCC Games,,Men’s High Jump,الوثب العالي رجال,Decathlon,Men,,3,1.73,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0744
Abdulrahman Mohammed,Athletics,2026-05-16,4th GCC Games Doha 2026,GCC Games,,Men’s Triple Jump,الوثب الثلاثي رجال,Final,Men,,2,14.96,S,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0750
Sami Bakheet,Athletics,2026-05-16,4th GCC Games Doha 2026,GCC Games,,Men’s Triple Jump,الوثب الثلاثي رجال,Final,Men,,3,DNS,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0750
Ali Beedh,Athletics,2026-05-16,4th GCC Games Doha 2026,GCC Games,,Men’s 400 Metres,400 متر رجال,Decathlon,Men,,1,49.98,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0752
Muhsin Aldabboos,Athletics,2026-05-16,4th GCC Games Doha 2026,GCC Games,,Men’s 400 Metres,400 متر رجال,Decathlon,Men,,2,50.80,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0752
Ali Beedh,Athletics,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Men’s 110M Hurdles,110 متر حواجز رجال,Decathlon,Men,,,,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0754
Muhsin Aldabboos,Athletics,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Men’s 110M Hurdles,110 متر حواجز رجال,Decathlon,Men,,2,15.14,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0754
Ali Beedh,Athletics,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Men’s Discus Throw,رمي القرص رجال,Decathlon,Men,,1,41,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0755
Muhsin Aldabboos,Athletics,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Men’s Discus Throw,رمي القرص رجال,Decathlon,Men,,2,35.94,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0755
Ali Beedh,Athletics,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Men’s Pole Vault,القفز بالزانة رجال,Decathlon,Men,,2,4.20,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0756
Muhsin Aldabboos,Athletics,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Men’s Pole Vault,القفز بالزانة رجال,Decathlon,Men,,1,4.3,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0756
Ali Beedh,Athletics,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Men’s Javelin Throw,رمي الرمح رجال,Decathlon,Men,,1,60.60,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0757
Muhsin Aldabboos,Athletics,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Men’s Javelin Throw,رمي الرمح رجال,Decathlon,Men,,2,41.17,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0757
Hebah Omar,Athletics,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Women’s 200 Metres,200 متر سيدات,Final,Women,,4,24.56,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0759
Lujain Alhumaid,Athletics,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Women’s 200 Metres,200 متر سيدات,Final,Women,,9,DNS,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0759
Abdulaziz Atafi,Athletics,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Men’s 200 Metres,200 متر رجال,Final,Men,,2,20.48,S,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0761
Mohammed Abdullah,Athletics,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Men’s 200 Metres,200 متر رجال,Final,Men,,7,DNS,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0761
Abubakr Dihy,Athletics,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Men’s Discus Throw,رمي القرص رجال,Final,Men,,4,55.94,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0763
Fayez Alsubaie,Athletics,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Men’s 1500 Metres,1500 متر رجال,Final,Men,,,,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0765
Ali Beedh,Athletics,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Men’s 1500 Metres,1500 متر رجال,Decathlon,Men,,1,4:53.74,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0766
Muhsin Aldabboos,Athletics,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Men’s 1500 Metres,1500 متر رجال,Decathlon,Men,,2,5:54.93,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0766
Ali Beedh,Athletics,2026-05-17,4th GCC Games Doha 2026,GCC Games,,HEPTATHLON MEN (Combined),سباعي رجال (مجمع),Final,Men,,1,6525,G,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0837
Muhsin Aldabboos,Athletics,2026-05-17,4th GCC Games Doha 2026,GCC Games,,HEPTATHLON MEN (Combined),سباعي رجال (مجمع),Final,Men,,2,6525,S,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0837
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Pool B Game 1,سيدات - مباراة المجموعة B المباراة 1,Pool B,Women,,,19.0,,,,,,Regular Time:19 | Overtime:0,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0471
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game 2,رجال - مباراة المجموعة A المباراة 2,Pool A,Men,,,22.0,,,,,,Regular Time:22 | Overtime:0,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0472
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,,,13.0,,,,,,Regular Time:13 | Overtime:0,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0474
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game 3,رجال - مباراة المجموعة A المباراة 3,Pool A,Men,,,13.0,,,,,,Regular Time:13 | Overtime:0,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0478
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Pool B Game 3,سيدات - مباراة المجموعة B المباراة 3,Pool B,Women,,,12.0,,,,,,Regular Time:12 | Overtime:0,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0481
Saudi Arabia (Team),Basketball 3x3,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game 8,رجال - مباراة المجموعة A المباراة 8,Pool A,Men,,,12.0,,,,,,Regular Time:12 | Overtime:0,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0484
Saudi Arabia (Team),Basketball 3x3,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Women’s Semi-Final Game 1,سيدات - نصف النهائي  مباراة 1,Semi-Final,Women,,,18.0,,,,,,Regular Time:18 | Overtime:0,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0486
Saudi Arabia (Team),Basketball 3x3,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Men’s Semi-Final Game 1,رجال - نصف النهائي مباراة 1,Semi-Final,Men,,,11.0,,,,,,Regular Time:11 | Overtime:0,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0488
Saudi Arabia (Team),Basketball 3x3,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Men’s Bronze Medal Game,رجال - مباراة الميدالية البرونزية,Bronze Medal Game,Men,,,13.0,,,,,,Regular Time:13 | Overtime:0,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0491
Saudi Arabia (Team),Basketball 3x3,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Women’s Final,سيدات - النهائي,Final,Women,,,17.0,,,,,,Regular Time:17 | Overtime:0,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0492
Abdulaziz Alamoudi,Billiards,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s 10-Ball Singles Match No 2,كرات فردي رجال 10   مباراة رقم 2,Qualification,Men,,,5.0,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/billiards/COM-2026-0190
Mohammed Baabad,Billiards,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s 10-Ball Singles Match No 12,12 كرات فردي رجال 10 مباراة رقم,Qualification,Men,,,7.0,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/billiards/COM-2026-0194
Abdulaziz Alamoudi,Billiards,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s 10-Ball Singles Match No 17,17 كرات فردي رجال 10 مباراة رقم,Qualification,Men,,,3.0,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/billiards/COM-2026-0196
Mohammed Baabad,Billiards,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s 10-Ball Singles Match No 22,22 كرات فردي رجال 10 مباراة رقم,Qualification,Men,,,7.0,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/billiards/COM-2026-0199
Mohammed Baabad,Billiards,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Men’s 10-Ball Singles Semi-final,كرات فردي رجال 10 النصف النهائي,Semi Final,Men,,,5.0,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/billiards/COM-2026-0209
Mohammed Baabad,Billiards,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Men’s 10-Ball Singles Final,كرات فردي رجال 10 النهائي,Final,Men,,1,7.0,G,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/billiards/COM-2026-0210
Saudi Arabia (Team),Billiards,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Men’s 10-Ball Doubles Match No 6,6 كرات زوجي رجال 10 مباراة رقم,Qualification,Men,,,,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/billiards/COM-2026-0213
Abdulaziz Alamoudi,Billiards,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Men’s 9-Ball Singles Match No 7,7 كرات فردي رجال 9 مباراة رقم,Qualification,Men,,,7.0,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/billiards/COM-2026-0221
Mohammed Baabad,Billiards,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Men’s 9-Ball Singles Match No 10,10 كرات فردي رجال 9 مباراة رقم,Qualification,Men,,,4.0,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/billiards/COM-2026-0223
Abdulaziz Alamoudi,Billiards,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Men’s 9-Ball Singles Match No 20,20 كرات فردي رجال 9 مباراة رقم,Qualification,Men,,,7.0,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/billiards/COM-2026-0227
Mohammed Baabad,Billiards,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Men’s 9-Ball Singles Match No 24,24 كرات فردي رجال 9 مباراة رقم,Qualification,Men,,,3.0,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/billiards/COM-2026-0233
Saudi Arabia (Team),Bowling,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Men Doubles,زوجي رجال,Final,Men,,,,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/bowling/COM-2026-0713
Saudi Arabia (Team),Bowling,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Men Trio,ثلاثي رجال,Final,Men,,,,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/bowling/COM-2026-0769
Saudi Arabia (Team),Bowling,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Men Team,الفرق رجال,Qualification,Men,,,,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/bowling/COM-2026-0788
Saudi Arabia (Team),Bowling,2026-05-16,4th GCC Games Doha 2026,GCC Games,,"Men Team Final (Game 3, Game 4, Game 6)",نهائي الفرق رجال,Final,Men,,,,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/bowling/COM-2026-0815
Ziyad Altuwaireb,Bowling,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Men’s Masters,الأساتذة رجال,Final,Men,,4,2366.0,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/bowling/COM-2026-0828
Abdulrahman Alkheliwi,Bowling,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Men’s Masters,الأساتذة رجال,Final,Men,,5,2368.0,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/bowling/COM-2026-0828
Abdulmajeed Alaslani,Bowling,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Men’s Masters,الأساتذة رجال,Final,Men,,6,2331.0,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/bowling/COM-2026-0828
Ahmed Abualreesh,Bowling,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Men’s Masters,الأساتذة رجال,Final,Men,,7,2286.0,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/bowling/COM-2026-0828
Ziad Majrashi,Boxing,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Men’s 60 kg,60 كجم رجال,Semifinals,Men,,,5.0,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/boxing/COM-2026-0157
Abdullah Darkazanli,Boxing,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Men’s 75 kg,75 كجم رجال,Semifinals,Men,,,1.0,B,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/boxing/COM-2026-0158
Aly Abdalla,Boxing,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Men’s 75 kg,75 كجم رجال,Semifinals,Men,,,,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/boxing/COM-2026-0159
Abdelrahman Sadek,Boxing,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Men’s 80 kg,80 كجم رجال,Semifinals,Men,,,1.0,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/boxing/COM-2026-0160
Muhannad Majrashi,Boxing,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Men’s 55 kg,55 كجم رجال,Final,Men,,,4.0,G,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/boxing/COM-2026-0162
Ziad Majrashi,Boxing,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Men’s 60 kg,60 كجم رجال,Final,Men,,,4.0,G,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/boxing/COM-2026-0163
Abdelrahman Sadek,Boxing,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Men’s 80 kg,80 كجم رجال,Final,Men,,,5.0,G,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/boxing/COM-2026-0165
Saudi Arabia (Team),Equestrian,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Team Show Jumping,قفز الحواجز فرق,Qualification,Mixed,,,,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/equestrian/COM-2026-0088
Nada Abed,Fencing,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Women's Épée Final Results,الايبيه نساء النتائج النهائية,Standing,Women,,,3.0,B,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/fencing/COM-2026-0714
Ghala Alduhaim,Fencing,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women's Foil Final Results,فلوريه سيدات النتائج النهائية,Standing,Women,,,3.0,B,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/fencing/COM-2026-0771
Basma Alrashid,Fencing,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women's Foil Final Results,فلوريه سيدات النتائج النهائية,Standing,Women,,,4.0,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/fencing/COM-2026-0771
Lameed Almarri,Fencing,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women's Foil Final Results,فلوريه سيدات النتائج النهائية,Standing,Women,,,5.0,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/fencing/COM-2026-0771
Aljawharah Almarri,Fencing,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women's Foil Final Results,فلوريه سيدات النتائج النهائية,Standing,Women,,,7.0,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/fencing/COM-2026-0771
