Given Name,Family Name,Sport,Event,Reason
Abdullah,Al Manhale,Archery,Men's Individual Compound,no schedule match
Abdullah,Alabdullatif,Archery,Men's Individual Compound,no schedule match
Belal,Alawadi,Archery,Men's Individual Compound,no schedule match
Abdulaziz,Alrodan,Archery,Men's Individual Compound,no schedule match
Abdulrahman,Almusa,Archery,Men's Individual Recurve,no schedule match
Rashed,Alsubaie,Archery,Men's Individual Recurve,no schedule match
Mansour,Alwi,Archery,Men's Individual Recurve,no schedule match
Abdullah,Saloum,Archery,Men's Individual Recurve,no schedule match
Sofanah,Alahmadi,Archery,Women's Individual Recurve,no schedule match
Hissa,Alsuryyia,Archery,Women's Individual Recurve,no schedule match
Shaden,Almarshud,Archery,Women's Individual Recurve,no schedule match
Lenah,Almunajem,Archery,Women's Individual Recurve,no schedule match
Raghad,Kaabi,Archery,Women's Individual Compound,no schedule match
Sara,Aljanabi,Archery,Women's Individual Compound,no schedule match
Haifa,Alkhenizan,Archery,Women's Individual Compound,no schedule match
Hussain,Alhizam,Athletics,Men's Pole Vault,no schedule match
Mohammed,Alqudaihi,Athletics,Men's Pole Vault,no schedule match
