Given Name,Family Name,Sport,Event,Reason
Hussain,Alhizam,Athletics,Men's Pole Vault,no schedule match
Mohammed,Alqudaihi,Athletics,Men's Pole Vault,no schedule match
Ali,Alessa,Swimming,Men's 4 x 200m Freestyle Relay,no schedule match
Ali,Alessa,Swimming,Men's 4 x 100m Medley Relay,no schedule match
Ali,Alessa,Swimming,Men's 4 x 100m Freestyle Relay,no schedule match
Ahmed,Almoeibed,Swimming,Men's 200m Butterfly,no schedule match
Emad,Alsibyani,Swimming,Men's 4 x 100m Medley Relay,no schedule match
Ghanem,Alsulhi,Swimming,Men's 4 x 100m Freestyle Relay,no schedule match
Ghanem,Alsulhi,Swimming,Men's 4 x 200m Freestyle Relay,no schedule match
Mohammed,Alzaki,Swimming,Men's 4 x 100m Medley Relay,no schedule match
Mohammed,Alzaki,Swimming,Men's 4 x 100m Freestyle Relay,no schedule match
Mohammed,Alzaki,Swimming,Men's 4 x 200m Freestyle Relay,no schedule match
Mohammed,Alzaki,Swimming,Men's 200m Butterfly,no schedule match
Emad,Zaben,Swimming,Men's 4 x 100m Freestyle Relay,no schedule match
Emad,Zaben,Swimming,Men's 4 x 200m Freestyle Relay,no schedule match
Emad,Zaben,Swimming,Men's 4 x 100m Medley Relay,no schedule match
